Id,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
906,ADULT,7,4,35 to 44 years,Main Library,October,2013,email,TRUE,2012,TRUE,
907,ADULT,4,8,35 to 44 years,Noe Valley/Sally Brunn,August,2009,email,TRUE,2008,FALSE,8
908,ADULT,35,10,35 to 44 years,Park,January,2014,email,TRUE,2006,FALSE,8
909,ADULT,54,5,25 to 34 years,Mission Bay,April,2014,phone,FALSE,2013,FALSE,
910,ADULT,21,0,55 to 59 years,Marina,December,2015,email,TRUE,2009,FALSE,2
911,ADULT,113,88,25 to 34 years,Chinatown,April,2014,email,TRUE,2005,FALSE,11
912,ADULT,4,2,25 to 34 years,Bernal Heights,July,2016,email,TRUE,2008,TRUE,
913,ADULT,79,12,25 to 34 years,Western Addition,October,2015,email,TRUE,2013,FALSE,5
914,ADULT,34,5,35 to 44 years,Ortega,June,2016,email,TRUE,2003,FALSE,4
915,ADULT,80,14,55 to 59 years,Main Library,August,2012,email,TRUE,2006,FALSE,6
916,ADULT,130,15,45 to 54 years,Excelsior,December,2014,phone,FALSE,2010,FALSE,11
917,ADULT,56,24,45 to 54 years,Mission Bay,August,2014,email,TRUE,2010,TRUE,
918,SENIOR,102,11,65 to 74 years,Chinatown,July,2016,phone,FALSE,2014,FALSE,3
919,ADULT,41,3,45 to 54 years,Anza,March,2014,print,FALSE,2009,FALSE,1
920,ADULT,4,5,25 to 34 years,Main Library,June,2015,email,TRUE,2015,FALSE,5
921,ADULT,82,110,35 to 44 years,Western Addition,August,2014,email,TRUE,2012,FALSE,
922,WELCOME,4,0,45 to 54 years,Main Library,March,2015,phone,FALSE,2013,FALSE,9
923,ADULT,14,5,35 to 44 years,Presidio,January,2015,email,TRUE,2011,FALSE,2
924,ADULT,2,4,20 to 24 years,Main Library,January,2014,email,TRUE,2013,FALSE,11
925,ADULT,14,0,45 to 54 years,Mission,December,2013,phone,FALSE,2003,FALSE,
926,SENIOR,53,40,65 to 74 years,Main Library,October,2013,phone,FALSE,2003,TRUE,
927,ADULT,1754,882,55 to 59 years,Main Library,July,2016,email,TRUE,2003,FALSE,6
928,WELCOME,1,1,45 to 54 years,Mission Bay,February,2013,email,TRUE,2013,TRUE,
929,ADULT,57,25,45 to 54 years,Main Library,June,2013,email,TRUE,2008,FALSE,5
930,SENIOR,520,256,65 to 74 years,Main Library,September,2013,email,TRUE,2003,FALSE,8
931,ADULT,38,14,25 to 34 years,Mission,May,2016,email,TRUE,2010,FALSE,8
932,ADULT,45,51,35 to 44 years,Mission Bay,July,2016,email,TRUE,2009,FALSE,
933,ADULT,14,30,20 to 24 years,Main Library,October,2015,email,TRUE,2015,FALSE,3
934,ADULT,25,22,35 to 44 years,Marina,June,2016,email,TRUE,2008,FALSE,1
935,ADULT,45,16,25 to 34 years,Main Library,November,2014,email,TRUE,2009,FALSE,6
936,ADULT,7,0,25 to 34 years,Visitacion Valley,February,2016,email,TRUE,2014,TRUE,
937,ADULT,852,1553,60 to 64 years,Chinatown,July,2016,phone,FALSE,2003,TRUE,
938,ADULT,295,176,45 to 54 years,Bayview/Linda Brooks-Burton,June,2016,email,TRUE,2003,FALSE,10
939,ADULT,2,0,25 to 34 years,Main Library,October,2014,email,TRUE,2014,FALSE,4
940,WELCOME,1,0,25 to 34 years,Mission,March,2014,email,TRUE,2014,FALSE,9
941,ADULT,18,6,55 to 59 years,Main Library,September,2011,email,TRUE,2010,TRUE,
942,ADULT,32,6,25 to 34 years,Main Library,August,2015,email,TRUE,2011,TRUE,
943,ADULT,9,0,35 to 44 years,Excelsior,June,2010,email,TRUE,2008,FALSE,11
944,ADULT,1703,5,45 to 54 years,Main Library,March,2014,email,TRUE,2009,FALSE,3
945,ADULT,0,0,35 to 44 years,Main Library,June,2015,email,TRUE,2013,TRUE,
946,ADULT,2918,684,55 to 59 years,Main Library,May,2016,email,TRUE,2003,FALSE,3
947,SENIOR,45,104,65 to 74 years,Western Addition,June,2016,email,TRUE,2009,FALSE,3
948,ADULT,134,29,55 to 59 years,Potrero,July,2016,email,TRUE,2003,TRUE,
949,ADULT,125,54,45 to 54 years,Park,September,2012,email,TRUE,2003,FALSE,5
950,ADULT,2,0,20 to 24 years,Main Library,March,2013,email,TRUE,2013,FALSE,4
951,ADULT,620,894,35 to 44 years,Richmond,December,2015,email,TRUE,2003,FALSE,1
952,ADULT,6,0,25 to 34 years,Mission,July,2013,email,TRUE,2013,FALSE,9
953,SENIOR,37,20,65 to 74 years,Richmond,May,2015,print,TRUE,2006,FALSE,
954,ADULT,367,236,60 to 64 years,Noe Valley/Sally Brunn,July,2016,email,TRUE,2003,FALSE,8
955,ADULT,59,10,60 to 64 years,Sunset,August,2013,email,TRUE,2008,FALSE,4
956,SENIOR,26,8,65 to 74 years,Marina,July,2016,email,TRUE,2008,FALSE,2
957,ADULT,418,154,35 to 44 years,Mission Bay,July,2016,email,TRUE,2014,FALSE,3
958,SENIOR,244,75,65 to 74 years,Richmond,July,2015,email,TRUE,2003,TRUE,
959,ADULT,4,8,25 to 34 years,Main Library,July,2015,email,TRUE,2012,FALSE,3
960,ADULT,7,3,25 to 34 years,Richmond,December,2012,email,TRUE,2012,FALSE,
961,ADULT,40,0,20 to 24 years,Parkside,May,2013,email,TRUE,2013,FALSE,4
962,WELCOME,0,0,35 to 44 years,Main Library,None,None,phone,FALSE,2014,FALSE,6
963,ADULT,104,191,60 to 64 years,Main Library,March,2016,email,TRUE,2008,TRUE,
964,ADULT,48,28,35 to 44 years,Main Library,May,2016,email,TRUE,2007,FALSE,3
965,ADULT,43,5,20 to 24 years,Main Library,July,2016,email,TRUE,2014,FALSE,10
966,ADULT,23,6,35 to 44 years,Main Library,November,2010,email,TRUE,2010,FALSE,5
967,ADULT,1,3,25 to 34 years,Parkside,April,2016,email,TRUE,2016,TRUE,
968,STAFF,1774,562,45 to 54 years,Mission,June,2016,email,TRUE,2003,FALSE,9
969,ADULT,7,0,60 to 64 years,Noe Valley/Sally Brunn,November,2015,email,TRUE,2013,FALSE,8
970,ADULT,54,110,55 to 59 years,Main Library,September,2010,email,TRUE,2003,FALSE,4
971,ADULT,138,167,25 to 34 years,North Beach,August,2013,email,TRUE,2006,FALSE,3
972,ADULT,4,1,20 to 24 years,Sunset,December,2015,email,TRUE,2015,FALSE,10
973,ADULT,1,0,25 to 34 years,Mission,June,2013,email,TRUE,2008,FALSE,6
974,ADULT,22,2,20 to 24 years,Main Library,March,2014,email,TRUE,2013,TRUE,
975,ADULT,1,1,55 to 59 years,Portola,January,2016,email,TRUE,2015,FALSE,9
976,SENIOR,0,0,65 to 74 years,Parkside,None,None,email,TRUE,2011,TRUE,
977,SENIOR,0,0,65 to 74 years,Parkside,None,None,email,TRUE,2011,TRUE,
